city,order_p,order_d,order_q,aic,r2,rmse,mae,n,variance,r2_undefined
Adilabad,2,1,0,140.58850195533014,0.8420682614401924,0.6940224245463998,0.5740168135293708,16,3.049843749999999,False
Agar,0,1,0,127.6512954072578,0.45465004793863817,0.6666145812986696,0.5437500000000002,16,0.8148437500000004,False
Agra,0,1,0,170.06239888905955,-0.08073981140475128,1.7690039570334488,0.9687500000000002,16,2.8955859375000004,False
Ahmadnagar,0,1,1,135.46338239743136,0.6638023754062026,0.9467146994188987,0.8340741678476244,16,2.6658984374999997,False
Aizawl,0,1,0,159.75243227080838,-0.2655519144049514,1.3285330255586416,0.9374999999999996,16,1.3946484374999992,False
Ajmer,2,0,2,164.89550044267574,-0.5733171614380526,1.2640564799026603,1.0205880625004962,16,1.015585937500001,False
Akola,0,1,0,138.34100768696374,0.7705788635156665,0.8714212528966686,0.64375,16,3.309960937499999,False
Alappuzha,0,1,1,97.3215925327285,-0.38173098846343967,0.43382816104006705,0.3236588243216545,16,0.13621093749999968,False
Aligarh,0,1,0,167.93490442646862,0.1634473968036083,1.154610323875549,0.78125,16,1.5935937500000001,False
Alirajpur,0,1,1,120.79861610920373,0.7402807178407985,0.47976683275690507,0.4289919659739694,16,0.8862499999999992,False
Allahabad,0,1,0,145.6380144788201,0.14501764409342977,1.3374415875095258,0.8625,16,2.092148437500001,False
Almora,0,1,0,136.78092833285118,0.5342349957734576,0.5868347297152751,0.4812500000000002,16,0.7393750000000004,False
Alwar,2,0,2,157.38475404266504,-0.6460324974218834,1.8126853215144663,1.2222181981655316,16,1.9962109374999997,False
Ambala,0,1,0,169.4523517118842,-0.396787229068563,1.2781823031164208,0.7374999999999998,16,1.1696484374999991,False
Amethi,0,1,0,165.33313399640411,0.2189379398592446,0.9766012492312306,0.6375000000000006,16,1.2210937499999994,False
Amravati,0,1,1,147.38659441350353,0.8355677148468541,0.7820022521490799,0.6312398751332824,16,3.7190234375000015,False
Amreli,0,1,0,140.12209842869925,-0.17631224764468456,0.7390872749547241,0.5499999999999998,16,0.46437499999999965,False
Amritsar,2,1,2,177.64216473575163,-0.6022639389419482,2.061493328706901,1.5016617396565461,16,2.65234375,False
Anand,0,0,2,120.75000667263511,-0.33068506293011946,1.050937011543508,0.7497024168989506,16,0.8300000000000002,False
Anantapur,2,1,2,169.0267205018235,0.37049389695073076,1.1172143840240458,0.9363905937310399,16,1.9827734374999988,False
Anantnag,0,1,0,148.22290441297463,-1.0412556053811661,1.3334635353094586,0.9062499999999999,16,0.8710937499999998,False
Anugul,0,1,2,151.61539347649062,0.6189182571174046,0.8274190490265082,0.6575259394847077,16,1.7965234374999994,False
Anuppur,1,1,2,149.46308785178508,0.5820687668521345,1.1148197184179442,0.7163514153414718,16,2.973749999999999,False
Araria,0,1,0,156.01831848845404,0.3127212650460226,0.5841660722773961,0.5125,16,0.49652343749999966,False
Ariyalur,2,0,2,153.5655036846764,-1.6675204297901751,1.5140674916762897,1.278604374026467,16,0.859375,False
Arong,0,0,0,126.63218129839439,-0.5537666510511183,0.30681657258069883,0.25090529617964297,16,0.06058593749999992,False
Arwal,0,1,1,181.57472412035807,-0.5014285013522986,2.067102567851067,1.7507712184909165,16,2.8458984375000007,False
Ashoknagar,0,1,0,138.81460577106614,-0.056072132995209634,1.3254716141811556,0.8312499999999996,16,1.6635937499999989,False
Auraiya,2,1,1,156.04777611550438,-0.03085593249162466,1.4739364334720262,0.8968577668224837,16,2.1074609375000004,False
Aurangabad,0,1,0,131.57218608038716,0.5844645859820368,1.258222953216162,1.0312500000000002,16,3.8098437500000015,False
Azamgarh,0,1,0,163.27787823899538,0.6490181456624401,0.469707355701399,0.36875000000000036,16,0.6285937500000001,False
Badgam,2,1,0,179.52747872149124,-1.5290558201291646,1.8155900980966588,1.353640683733856,16,1.3033984375000003,False
Bagalkot,0,1,1,153.89210776185547,0.38864498657309376,1.4283495467900678,0.9903159086064621,16,3.3371484375000002,False
Bageshwar,0,1,0,147.89131649929308,-1.3028995279838167,1.6334396223919636,1.06875,16,1.15859375,False
Baghpat,2,1,2,170.919465938096,-1.0394705245707567,2.306890417868135,1.5474466993479514,16,2.609375,False
Bahraich,0,1,0,160.3408795326634,0.5438968915845339,0.7664854858377945,0.5749999999999997,16,1.2880859375000004,False
Baksa Duar,0,1,0,111.16155419226743,-0.21544715447154372,0.6113509630318739,0.5249999999999996,16,0.30749999999999994,False
Balaghat,0,1,0,135.2132799047155,0.8381883829354647,0.8492643875731513,0.7,16,4.45734375,False
Balangir,2,1,0,128.28347800870654,0.7168262864767962,0.8330381634131785,0.6729595566010962,16,2.4506250000000005,False
Baleshwar,0,1,1,131.52953975328856,-0.3173561808669727,1.1829983538737063,0.9753480390133138,16,1.0623437500000006,False
Ballia,0,1,0,172.11698755706385,0.528342879715584,0.6108395861435306,0.49375000000000013,16,0.7910937500000003,False
Balod,2,1,0,124.86028219370397,0.8058121345281061,0.8267472071964238,0.7170673617757333,16,3.5198437499999997,False
Baloda Bazar,2,1,2,145.47096582528053,0.623303026977675,1.0516387471500008,0.8796756137725659,16,2.9358984374999997,False
Balrampur,0,1,0,151.9475300766697,0.43810645122000746,0.7352720584926372,0.5562500000000004,16,0.9621484375000005,False
Banda,0,1,0,165.55809723449775,0.08998067899530726,1.4354877219955597,0.7562500000000003,16,2.2643750000000002,False
Bangalore,0,1,0,180.55973547700938,0.04807692307692324,1.1055415967851334,0.7777777777777778,18,1.2839506172839508,False
Banka,0,1,0,148.33328487609202,0.428483976615347,0.8540345426269363,0.6937500000000001,16,1.2762109375000006,False
Bankura,0,1,0,128.57617099317406,0.09827586206896644,0.9902651160169174,0.8187499999999996,16,1.0874999999999997,False
Banswara,0,1,1,126.45210727001812,0.5091495263960042,0.7879884828530522,0.6808404373173746,16,1.2650000000000003,False
Bara Banki,0,1,0,146.73073775178898,-0.3843199516141227,1.8910975649077444,1.3875000000000002,16,2.5833984375000005,False
Baramula,0,1,0,192.29936123861577,-0.902489134729356,1.9395553614166317,1.30625,16,1.9773437500000002,False
Baran,0,1,0,152.4173213933482,-0.1959989870853378,1.718102150630165,1.0437499999999997,16,2.468124999999999,False
Barddhaman,1,1,0,163.9284922317289,0.08302291628336023,1.179493553688779,0.7984067003557576,23,1.5171644612476363,False
Bareilly,2,1,1,153.90864563923577,-0.0383232268286362,1.089762446905404,0.7690645346830483,16,1.1437500000000005,False
Bargarh,0,1,0,123.34037288654136,0.7768602903403794,0.6768493185340443,0.5562500000000004,16,2.0530859375,False
Barmer,2,0,1,179.8182389780763,-0.4443104971461791,0.8136766404147634,0.672182183340053,16,0.45839843749999964,False
Barnala,0,1,0,201.09217163425578,0.008095605242868342,1.26811868529724,0.89375,16,1.6212500000000003,False
Barpeta,0,1,0,128.0719963007605,0.2545898333863944,0.5238081709939243,0.4437500000000003,16,0.36808593750000007,False
Barwani,2,1,2,120.71198054607981,0.7772143060535501,0.6329269514939782,0.4541906133108613,16,1.7981250000000015,False
Bastar,2,1,0,134.61492229647206,0.5489070665070055,0.8864935697748246,0.6981366833182805,16,1.7421484375000003,False
Basti,0,1,0,146.2952752140028,0.25441295546558695,0.8481597726843688,0.5937500000000002,16,0.9648437500000001,False
Baudh,0,1,2,151.61539347649062,0.6189182571174046,0.8274190490265082,0.6575259394847077,16,1.7965234374999994,False
Begusarai,0,1,0,168.38670200492194,0.06659949622166306,1.0419332992087347,0.8187499999999994,16,1.1630859374999993,False
Belgaum,0,1,0,123.79010563419752,0.34627076840716653,1.1556924331326213,0.8812499999999996,16,2.0430859374999994,False
Bellary,2,1,2,163.2352558638664,0.6208885770309773,1.25483098136679,0.9099171486351072,16,4.153398437500002,False
Betul,1,1,0,124.25859972145577,0.655104236182493,0.8727740992770251,0.6918483720444233,16,2.2085937500000012,False
Bhabua,0,1,0,164.8848305820535,0.5337619355575004,0.6919176251549022,0.5624999999999998,16,1.0268359375000005,False
Bhadohi,0,1,0,147.67592668700473,0.786152181752615,0.6087897830942953,0.46874999999999956,16,1.7331250000000002,False
Bhadrak,0,1,0,140.14753387264065,0.21468475658419683,0.6791538853603067,0.5250000000000004,16,0.58734375,False
